Year,Month,TotalPopulation,TotalUnemployed,TotalEmployed,UnemploymentRate,EmploymentRate
2000,January,723,21,702,3,97.1
2000,April,760,53,707,7,93.1
2000,July,744,31,713,4.2,95.9
2000,October,754,31,723,4.2,95.9
2001,January,757,44,713,5.9,94.2
2001,April,848,59,789,7,93.1
2001,July,792,38,754,4.8,95.3
2001,October,786,32,754,4.1,96
2002,January,835,44,791,5.3,94.8
2002,April,882,59,823,6.7,93.4
2002,July,833,38,795,4.6,95.5
2002,October,871,32,839,3.7,96.4
2003,January,995,92,903,9.3,90.8
2003,April,1072,131,941,12.3,87.8
2003,July,1008,126,882,12.5,87.5
2003,October,1020,89,931,8.8,91.3
2004,January,999,99,900,10,90.1
2004,April,1076,143,933,13.3,86.8
2004,July,1014,91,923,9,91.1
2004,October,1030,96,934,9.4,90.7
2005,January,1004,102,902,10.2,89.9
2005,April,1086,110,976,10.2,89.9
2005,July,1038,85,953,8.2,91.9
2005,October,1064,73,991,6.9,93.2
2006,January,971,81,890,8.4,91.7
2006,April,1017,98,919,9.7,90.4
2006,July,1536,93,1443,6.1,94
2006,October,1003,37,966,3.7,96.4
2007,January,920,43,877,4.7,95.4
2007,April,1004,45,959,4.5,95.6
2007,July,1151,50,1101,4.4,95.7
2007,October,1073,33,1040,3.1,97
2008,January,979,27,952,2.8,97.3
2008,April,1140,56,1084,5,95.1
2008,July,1195,37,1158,3.1,97
2008,October,968,25,943,2.6,97.5
2009,January,1045,66,979,6.4,93.7
2009,April,1050,54,996,5.2,94.9
2009,July,1258,70,1188,5.6,94.5
2009,October,998,21,977,2.2,97.9
2010,January,1291,84,1207,6.6,93.5
2010,April,1062,81,981,7.7,92.4
2010,July,1134,46,1088,4.1,96
2010,October,1160,38,1122,3.3,96.8
2011,January,1141,45,1096,4,96.1
2011,April,1066,52,1014,4.9,95.2
2011,July,1065,63,1002,6,94.1
2011,October,1087,60,1027,5.6,94.5
2012,January,1087,72,1015,6.7,93.4
2012,April,1102,55,1047,5,95.1
2012,July,1119,77,1042,6.9,93.2
2012,October,1107,47,1060,4.3,95.8
2013,January,1109,92,1017,8.3,91.8
2013,April,1102,55,1047,5,95.1
2013,July,1119,77,1042,6.9,93.2
2013,October,1107,47,1060,4.3,95.8
2014,January,2026,85,1941,4.2,95.9
2014,April,1182,70,1112,6,94.1
2014,July,1184,66,1118,5.6,94.5
2014,October,1133,39,1094,3.5,96.6
2015,January,1164,76,1088,6.6,93.5
2015,April,1149,57,1092,5,95.1
2015,July,1144,73,1071,6.4,93.7
2015,October,1176,59,1117,5.1,95
2016,January,,,,,
2016,April,,,,,
2016,July,1128,49,1079,4.4,95.7
2016,October,,,,,
2017,January,,,,,
2017,April,,,,,
2017,July,,,,,
2017,October,,,,,
2018,January,,,,,
2018,April,,,,,
2018,July,,,,,
2018,October,,,,,
2019,January,,,,,
2019,April,,,,,
2019,July,1232,60,1172,4.9,95.2
2019,October,,,,,
2020,January,,,,,
2020,April,1029,127,902,12.4,87.7
2020,July,,,,,
2020,October,,,,,
