Year,Month,TotalPopulation,TotalUnemployed,TotalEmployed,UnemploymentRate,EmploymentRate
2000,January,980,74,906,7.6,92.5
2000,April,1003,107,896,10.7,89.4
2000,July,877,77,800,8.8,91.3
2000,October,917,80,837,8.8,91.3
2001,January,919,89,830,9.7,90.4
2001,April,1008,120,888,12,88.1
2001,July,968,77,891,8,92.1
2001,October,999,80,919,8.1,92
2002,January,958,89,869,9.3,90.8
2002,April,1038,120,918,11.6,88.5
2002,July,961,77,884,8.1,92
2002,October,962,80,882,8.4,91.7
2003,January,886,51,835,5.8,94.3
2003,April,930,72,858,7.8,92.3
2003,July,958,65,893,6.8,93.3
2003,October,982,53,929,5.4,94.7
2004,January,988,59,929,6,94.1
2004,April,1007,97,910,9.7,90.4
2004,July,976,58,918,6,94.1
2004,October,938,68,870,7.3,92.8
2005,January,985,71,914,7.3,92.8
2005,April,1017,84,933,8.3,91.8
2005,July,946,42,904,4.5,95.6
2005,October,941,50,891,5.4,94.7
2006,January,1049,41,1008,4,96.1
2006,April,1163,78,1085,6.8,93.3
2006,July,939,61,878,6.5,93.6
2006,October,1062,44,1018,4.2,95.9
2007,January,1166,72,1094,6.2,93.9
2007,April,1192,60,1132,5.1,95
2007,July,976,81,895,8.3,91.8
2007,October,990,41,949,4.2,95.9
2008,January,1124,46,1078,4.1,96
2008,April,1001,33,968,3.3,96.8
2008,July,1011,71,940,7.1,93
2008,October,1162,53,1109,4.6,95.5
2009,January,1123,27,1096,2.5,97.6
2009,April,1148,18,1130,1.6,98.5
2009,July,999,43,956,4.4,95.7
2009,October,1175,49,1126,4.2,95.9
2010,January,1008,50,958,5,95.1
2010,April,1200,50,1150,4.2,95.9
2010,July,751,55,696,7.4,92.7
2010,October,1076,52,1024,4.9,95.2
2011,January,1061,80,981,7.6,92.5
2011,April,1186,44,1142,3.8,96.3
2011,July,1182,44,1138,3.8,96.3
2011,October,1235,29,1206,2.4,97.7
2012,January,1290,37,1253,2.9,97.2
2012,April,1246,36,1210,2.9,97.2
2012,July,1238,54,1184,4.4,95.7
2012,October,1313,46,1267,3.6,96.5
2013,January,1325,93,1232,7.1,93
2013,April,1246,36,1210,2.9,97.2
2013,July,1238,54,1184,4.4,95.7
2013,October,1313,46,1267,3.6,96.5
2014,January,1337,51,1286,3.9,96.2
2014,April,1392,49,1343,3.6,96.5
2014,July,1278,49,1229,3.9,96.2
2014,October,1361,48,1313,3.6,96.5
2015,January,1328,36,1292,2.8,97.3
2015,April,1316,42,1274,3.2,96.9
2015,July,1281,59,1222,4.7,95.4
2015,October,1292,46,1246,3.6,96.5
2016,January,,,,,
2016,April,,,,,
2016,July,1220,38,1182,3.2,96.9
2016,October,,,,,
2017,January,,,,,
2017,April,,,,,
2017,July,,,,,
2017,October,,,,,
2018,January,,,,,
2018,April,,,,,
2018,July,,,,,
2018,October,,,,,
2019,January,,,,,
2019,April,,,,,
2019,July,1318,57,1261,4.4,95.7
2019,October,,,,,
2020,January,,,,,
2020,April,1005,299,706,29.8,70.3
2020,July,,,,,
2020,October,,,,,
