Year,Month,TotalPopulation,TotalUnemployed,TotalEmployed,UnemploymentRate,EmploymentRate
2000,January,603,32,571,5.4,94.7
2000,April,628,57,571,9.1,91
2000,July,556,47,509,8.5,91.6
2000,October,557,40,517,7.2,92.9
2001,January,566,41,525,7.3,92.8
2001,April,613,67,546,11,89.1
2001,July,576,40,536,7,93.1
2001,October,596,36,560,6.1,94
2002,January,585,41,544,7.1,93
2002,April,640,67,573,10.5,89.6
2002,July,583,40,543,6.9,93.2
2002,October,595,36,559,6.1,94
2003,January,607,56,551,9.3,90.8
2003,April,654,62,592,9.5,90.6
2003,July,651,62,589,9.6,90.5
2003,October,646,46,600,7.2,92.9
2004,January,660,46,614,7,93.1
2004,April,705,72,633,10.3,89.8
2004,July,678,68,610,10.1,90
2004,October,675,61,614,9.1,91
2005,January,659,61,598,9.3,90.8
2005,April,700,75,625,10.8,89.3
2005,July,697,57,640,8.2,91.9
2005,October,685,57,628,8.4,91.7
2006,January,648,47,601,7.3,92.8
2006,April,721,55,666,7.7,92.4
2006,July,686,57,629,8.4,91.7
2006,October,666,37,629,5.6,94.5
2007,January,692,33,659,4.8,95.3
2007,April,702,26,676,3.8,96.3
2007,July,688,35,653,5.1,95
2007,October,679,21,658,3.1,97
2008,January,706,28,678,4,96.1
2008,April,680,33,647,4.9,95.2
2008,July,707,38,669,5.4,94.7
2008,October,702,27,675,3.9,96.2
2009,January,707,30,677,4.3,95.8
2009,April,715,30,685,4.2,95.9
2009,July,727,34,693,4.7,95.4
2009,October,696,36,660,5.2,94.9
2010,January,738,37,701,5.1,95
2010,April,743,44,699,6,94.1
2010,July,753,37,716,5,95.1
2010,October,744,33,711,4.5,95.6
2011,January,743,42,701,5.7,94.4
2011,April,759,38,721,5.1,95
2011,July,774,37,737,4.8,95.3
2011,October,793,38,755,4.8,95.3
2012,January,776,43,733,5.6,94.5
2012,April,777,44,733,5.7,94.4
2012,July,767,37,730,4.9,95.2
2012,October,758,44,714,5.9,94.2
2013,January,765,41,724,5.4,94.7
2013,April,777,44,733,5.7,94.4
2013,July,767,37,730,4.9,95.2
2013,October,758,44,714,5.9,94.2
2014,January,756,49,707,6.5,93.6
2014,April,807,40,767,5,95.1
2014,July,787,38,749,4.9,95.2
2014,October,785,44,741,5.7,94.4
2015,January,791,42,749,5.4,94.7
2015,April,816,38,778,4.7,95.4
2015,July,791,41,750,5.2,94.9
2015,October,791,33,758,4.2,95.9
2016,January,,,,,
2016,April,,,,,
2016,July,797,39,758,4.9,95.2
2016,October,,,,,
2017,January,,,,,
2017,April,,,,,
2017,July,,,,,
2017,October,,,,,
2018,January,,,,,
2018,April,,,,,
2018,July,,,,,
2018,October,,,,,
2019,January,,,,,
2019,April,,,,,
2019,July,806,28,778,3.5,96.6
2019,October,,,,,
2020,January,,,,,
2020,April,688,174,514,25.3,74.8
2020,July,,,,,
2020,October,,,,,
