Year,Month,TotalPopulation,TotalUnemployed,TotalEmployed,UnemploymentRate,EmploymentRate
2003,January,4010,528,3482,13.2,86.9
2003,April,4041,552,3489,13.7,86.4
2003,July,4205,656,3549,15.7,84.4
2003,October,4242,558,3684,13.2,86.9
2004,January,4277,587,3690,13.8,86.3
2004,April,4246,658,3588,15.5,84.6
2004,July,4300,618,3682,14.4,85.7
2004,October,4272,571,3701,13.4,86.7
2005,January,4338,604,3734,14,86.1
2005,April,4411,674,3737,15.3,84.8
2005,July,4483,607,3876,13.6,86.5
2005,October,4474,583,3891,13.1,87
2006,January,4588,596,3992,13,87.1
2006,April,4617,669,3948,14.5,85.6
2006,July,4483,607,3876,13.6,86.5
2006,October,4505,418,4087,9.3,90.8
2007,January,4668,487,4181,10.5,89.6
2007,April,4491,418,4073,9.4,90.7
2007,July,4583,419,4164,9.2,90.9
2007,October,4564,365,4199,8,92.1
2008,January,4602,431,4171,9.4,90.7
2008,April,4467,460,4007,10.3,89.8
2008,July,4502,373,4129,8.3,91.8
2008,October,4709,469,4240,10,90.1
2009,January,4737,515,4222,10.9,89.2
2009,April,4739,486,4253,10.3,89.8
2009,July,4870,540,4330,11.1,89
2009,October,4886,478,4408,9.8,90.3
2010,January,4962,472,4490,9.6,90.5
2010,April,4841,496,4345,10.3,89.8
2010,July,4992,470,4522,9.5,90.6
2010,October,5070,455,4615,9,91.1
2011,January,4229,477,3752,11.3,88.8
2011,April,5153,516,4637,10.1,90
2011,July,5109,530,4579,10.4,89.7
2011,October,5358,484,4874,9.1,91
2012,January,5168,430,4738,8.4,91.7
2012,April,5269,462,4807,8.8,91.3
2012,July,5182,489,4693,9.5,90.6
2012,October,5253,481,4772,9.2,90.9
2013,January,5236,456,4780,8.8,91.3
2013,April,5269,462,4807,8.8,91.3
2013,July,5182,489,4693,9.5,90.6
2013,October,5253,481,4772,9.2,90.9
2014,January,5487,486,5001,8.9,91.2
2014,April,5542,499,5043,9.1,91
2014,July,5562,444,5118,8,92.1
2014,October,5521,392,5129,7.2,92.9
2015,January,5484,470,5014,8.6,91.5
2015,April,5575,438,5137,7.9,92.2
2015,July,5487,437,5050,8,92.1
2015,October,5569,431,5138,7.8,92.3
2016,January,,,,,
2016,April,,,,,
2016,July,5981,460,5521,7.7,92.4
2016,October,,,,,
2017,January,,,,,
2017,April,,,,,
2017,July,,,,,
2017,October,,,,,
2018,January,,,,,
2018,April,,,,,
2018,July,,,,,
2018,October,,,,,
2019,January,,,,,
2019,April,,,,,
2019,July,6817,492,6325,7.3,92.8
2019,October,,,,,
2020,January,,,,,
2020,April,6435,1074,5361,16.7,83.4
2020,July,,,,,
2020,October,,,,,
