Year,Month,TotalPopulation,TotalUnemployed,TotalEmployed,UnemploymentRate,EmploymentRate
2003,January,1015,86,929,8.5,91.6
2003,April,1068,129,939,12.1,88
2003,July,986,94,892,9.6,90.5
2003,October,999,60,939,6.1,94
2004,January,1003,91,912,9.1,91
2004,April,1095,147,948,13.5,86.6
2004,July,1044,85,959,8.2,91.9
2004,October,1047,84,963,8.1,92
2005,January,1041,88,953,8.5,91.6
2005,April,1110,106,1004,9.6,90.5
2005,July,1069,80,989,7.5,92.6
2005,October,1098,68,1030,6.2,93.9
2006,January,1125,91,1034,8.1,92
2006,April,1211,126,1085,10.5,89.6
2006,July,4146,49,4097,1.2,98.9
2006,October,1115,37,1078,3.4,96.7
2007,January,1141,44,1097,3.9,96.2
2007,April,1178,49,1129,4.2,95.9
2007,July,1141,50,1091,4.4,95.7
2007,October,1108,41,1067,3.8,96.3
2008,January,1176,55,1121,4.7,95.4
2008,April,1181,53,1128,4.5,95.6
2008,July,1625,492,1133,30.3,69.8
2008,October,1189,40,1149,3.4,96.7
2009,January,1224,55,1169,4.5,95.6
2009,April,1249,56,1193,4.5,95.6
2009,July,1234,53,1181,4.3,95.8
2009,October,1263,54,1209,4.3,95.8
2010,January,1224,51,1173,4.2,95.9
2010,April,1255,50,1205,4,96.1
2010,July,1277,56,1221,4.4,95.7
2010,October,1283,65,1218,5.1,95
2011,January,4628,55,4573,1.2,98.9
2011,April,1297,51,1246,4,96.1
2011,July,1313,50,1263,3.9,96.2
2011,October,1352,48,1304,3.6,96.5
2012,January,1322,48,1274,3.7,96.4
2012,April,1335,63,1272,4.8,95.3
2012,July,1286,53,1233,4.2,95.9
2012,October,1262,54,1208,4.3,95.8
2013,January,1313,54,1259,4.2,95.9
2013,April,1335,63,1272,4.8,95.3
2013,July,1286,53,1233,4.2,95.9
2013,October,1262,54,1208,4.3,95.8
2014,January,1311,67,1244,5.2,94.9
2014,April,1345,62,1283,4.7,95.4
2014,July,1366,56,1310,4.1,96
2014,October,1342,61,1281,4.6,95.5
2015,January,1340,44,1296,3.3,96.8
2015,April,1341,51,1290,3.9,96.2
2015,July,1328,46,1282,3.5,96.6
2015,October,1350,35,1315,2.6,97.5
2016,January,,,,,
2016,April,,,,,
2016,July,1276,55,1221,4.4,95.7
2016,October,,,,,
2017,January,,,,,
2017,April,,,,,
2017,July,,,,,
2017,October,,,,,
2018,January,,,,,
2018,April,,,,,
2018,July,,,,,
2018,October,,,,,
2019,January,,,,,
2019,April,,,,,
2019,July,1324,59,1265,4.5,95.6
2019,October,,,,,
2020,January,,,,,
2020,April,1093,136,957,12.5,87.6
2020,July,,,,,
2020,October,,,,,
